Description,Selection,Bet Id,Bet type,Matched amount,Loss rec. amount,Avg. price matched,Status,P/L,Strategy,Short description,Tipster,Placed date,Matched date,Settled date,Settle as win
20:00 Pacos Ferreira v Torreense\Correct Score\0 - 0,0 - 0,639067395255789079,BACK,Åí1.32,Åí0.00,10,MATCHED,Åí0.00,DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:45:42,2026-02-15 19:45:42,0001-01-01 00:00:00,
20:00 Muangthong Utd v Lamphun Warrior\Correct Score\0 - 1,0 - 1,639067395255789077,BACK,Åí1.34,Åí0.00,12.5,MATCHED,Åí0.00,DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:45:42,2026-02-15 19:45:42,0001-01-01 00:00:00,
20:00 Pacos Ferreira v Torreense\Correct Score\1 - 0,1 - 0,639067395255789080,BACK,Åí1.25,Åí0.00,13,MATCHED,Åí0.00,DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:45:42,2026-02-15 19:45:42,0001-01-01 00:00:00,
20:00 Muangthong Utd v Lamphun Warrior\Correct Score\1 - 0,1 - 0,639067395255789078,BACK,Åí1.37,Åí0.00,11.5,MATCHED,Åí0.00,DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:45:42,2026-02-15 19:45:42,0001-01-01 00:00:00,
20:00 Pacos Ferreira v Torreense\Correct Score\0 - 1,0 - 1,639067395255789081,BACK,Åí1.43,Åí0.00,7.6,MATCHED,Åí0.00,DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:45:42,2026-02-15 19:45:42,0001-01-01 00:00:00,
20:00 Muangthong Utd v Lamphun Warrior\Correct Score\0 - 0,0 - 0,639067395255789076,BACK,Åí1.29,Åí0.00,14.5,MATCHED,Åí0.00,DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:45:42,2026-02-15 19:45:42,0001-01-01 00:00:00,
20:00 Vizela v Maritimo\Correct Score\1 - 0,1 - 0,639067395255789084,BACK,Åí1.30,Åí0.00,10.5,MATCHED,Åí0.00,DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:45:42,2026-02-15 19:45:42,0001-01-01 00:00:00,
20:00 Vizela v Maritimo\Correct Score\0 - 0,0 - 0,639067395255789082,BACK,Åí1.32,Åí0.00,9.8,MATCHED,Åí0.00,DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:45:42,2026-02-15 19:45:42,0001-01-01 00:00:00,
20:00 Vizela v Maritimo\Correct Score\0 - 1,0 - 1,639067395255789083,BACK,Åí1.38,Åí0.00,8.4,MATCHED,Åí0.00,DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:45:42,2026-02-15 19:45:42,0001-01-01 00:00:00,
20:00 Stal Rzeszow v Polonia Bytom\Correct Score\0 - 0,0 - 0,639067395255789085,BACK,Åí1.28,Åí0.00,18,MATCHED,Åí0.00,DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:45:48,2026-02-15 19:45:48,0001-01-01 00:00:00,
20:00 Stal Rzeszow v Polonia Bytom\Correct Score\1 - 0,1 - 0,639067395255789086,BACK,Åí1.40,Åí0.00,12.5,MATCHED,Åí0.00,DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:45:48,2026-02-15 19:45:48,0001-01-01 00:00:00,
20:00 Stal Rzeszow v Polonia Bytom\Correct Score\0 - 1,0 - 1,639067395255789087,BACK,Åí1.32,Åí0.00,16,MATCHED,Åí0.00,DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:45:48,2026-02-15 19:45:48,0001-01-01 00:00:00,
19:00 Lokomotiv Plovdiv v Cherno More\Correct Score\1 - 0,1 - 0,639067395255789090,BACK,Åí1.11,Åí0.00,12.5,MATCHED,Åí0.00,DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:45:48,2026-02-15 19:45:48,0001-01-01 00:00:00,
19:00 Lokomotiv Plovdiv v Cherno More\Correct Score\0 - 1,0 - 1,639067395255789088,BACK,Åí1.44,Åí0.00,3.2,MATCHED,Åí0.00,DUPLICATE GK27.01 Åí1 Dutch Back CC0-0/1-0/0-1 @HT0-0 LG7,Score at time of bet: 0 - 0,,2026-02-15 19:45:48,2026-02-15 19:45:48,0001-01-01 00:00:00,
