Event,Country code,Competition,Favorite position,Description,Selection,Bet Id,Bet type,Matched amount,Loss rec. amount,Avg. price matched,Price requested,Status,P/L,Strategy,BSP,Total matched on runner,Total matched on market,Short description,Tipster,Placed date,Matched date,Settled date,Number of selections,Market type
football,CO,Colombian Primera A,1,22:00 Deportivo Pereira v Atletico Nacional Medellin\Over/Under 1.5 Goals\Over 1.5 Goals,Over 1.5 Goals,426935659769,BACK,£14.44,£0.00,1.09,1.09,MATCHED,£0.00,GK05.34.01 WS200 O1.5g,0,"£6,429.12","£7,357.28",Score at time of bet: 1 - 0,,2026-04-25 22:24:42,0001-01-01 00:00:00,0001-01-01 00:00:00,2,OVER_UNDER_15
football,US,US MLS,1,21:45 Minnesota Utd v Los Angeles FC\Over/Under 1.5 Goals\Over 1.5 Goals,Over 1.5 Goals,426935349729,BACK,£12.94,£0.00,1.12,1.12,MATCHED,£0.00,GK05.34.01 WS200 O1.5g,0,"£9,762.47","£11,219.47",Score at time of bet: 0 - 1,,2026-04-25 22:20:58,0001-01-01 00:00:00,0001-01-01 00:00:00,2,OVER_UNDER_15
greyhound-racing,GB,,1,22:20 Romford 25th Apr\To Be Placed\5. You Kidding Me,5. You Kidding Me,426935074944,LAY,£1.00,£0.00,1.25,1.25,SETTLED,-£0.25,DSL 6 Mins PLACE 37% 0-3,1.42,£13.81,£88.85,,,2026-04-25 22:17:59,2026-04-25 22:18:13,2026-04-25 22:24:25,5,PLACE
greyhound-racing,GB,,1,22:20 Romford 25th Apr\To Be Placed\5. You Kidding Me,5. You Kidding Me,426935074919,LAY,£1.00,£0.00,1.25,1.25,SETTLED,-£0.25,DSL 6 Mins PLACE 25% 0-3,1.42,£13.81,£88.85,,,2026-04-25 22:17:59,2026-04-25 22:18:13,2026-04-25 22:24:25,5,PLACE
football,PT,Portuguese Primeira Liga,1,20:30 Guimaraes v Rio Ave\Over/Under 1.5 Goals\Over 1.5 Goals,Over 1.5 Goals,426933874774,BACK,£4.46,£0.00,1.87,1.86,SETTLED,£3.88,GK05.34.01 WS200 O1.5g,0,"£18,076.96","£44,055.05",Score at time of bet: 1 - 0,,2026-04-25 22:04:56,2026-04-25 22:05:01,2026-04-25 22:29:04,2,OVER_UNDER_15
greyhound-racing,GB,,3,22:04 Yarmouth 25th Apr\To Be Placed\1. Getaway Car,1. Getaway Car,426933750431,LAY,£1.00,£0.00,2.72,2.72,SETTLED,-£1.72,DSL 6 Mins PLACE 25% 0-3,2.73,£164.72,£415.26,,,2026-04-25 22:03:36,2026-04-25 22:04:08,2026-04-25 22:08:42,6,PLACE
greyhound-racing,GB,,4,22:02 Romford 25th Apr\To Be Placed\1. Avas Secret,1. Avas Secret,426933564597,LAY,£0.10,£0.00,3.35,3.35,SETTLED,£0.10,Dog Steamer Layer 6 Mins PLACE 50% 2+,3.2,£219.10,"£1,420.32",,,2026-04-25 22:01:45,2026-04-25 22:01:50,2026-04-25 22:06:19,5,PLACE
greyhound-racing,GB,,1,21:54 Dunstall Park 25th Apr\To Be Placed\3. Zip Away,3. Zip Away,426932891069,LAY,£1.00,£0.00,1.68,1.68,SETTLED,-£0.68,DSL 6 Mins PLACE 90% 0-3,1.7,"£1,271.45","£2,336.06",,,2026-04-25 21:53:56,2026-04-25 21:54:32,2026-04-25 21:57:47,5,PLACE
greyhound-racing,GB,,1,21:54 Dunstall Park 25th Apr\To Be Placed\3. Zip Away,3. Zip Away,426932870108,LAY,£1.00,£0.00,1.78,1.78,SETTLED,-£0.78,DSL 6 Mins PLACE 75% 0-3,1.7,£555.81,"£1,437.87",,,2026-04-25 21:53:40,2026-04-25 21:53:41,2026-04-25 21:57:47,5,PLACE
greyhound-racing,GB,,1,21:54 Dunstall Park 25th Apr\To Be Placed\3. Zip Away,3. Zip Away,426932820807,LAY,£2.00,£0.00,1.82,1.82,SETTLED,-£1.64,DSL 6 Mins PLACE 50% 0-3,1.7,£297.52,£844.15,,,2026-04-25 21:53:05,2026-04-25 21:53:10,2026-04-25 21:57:47,5,PLACE
